,full_text
113,@PartaiSocmed @asken_kane Wkwkwk smnjak era bitcoin Terjun bebas.dstulah memed lafar..nampaknya simemed bnyak utang..jdi butuh Dana buat lunasin..
114,Senateri wa US Elizabeth Warren we yatangije umushinga wo gukumira #Bitcoin https://t.co/RayAjguak5
115,"CRYPTO BREAKING NEWS Harga Bitcoin Jatuh, Analis Ini Justru  Melihat Momentum untuk Kembali Meroket. Dalam serangkaian peristiwa  dramatis, harga kripto utama Bitcoin (BTC) telah mengalami penurunan  harian terbesar dalam hampir empat bulan, namun a... check us out @… https://t.co/0nJvtAruFj"
116,"NFT berfungsi sebagai bukti kepemilikan atau keaslian barang atau konten unik seperti seni, musik, video, barang koleksi, dan bahkan real estate virtual di dunia virtual. Berbeda dengan mata uang kripto seperti Bitcoin atau Ethereum."
117,Market saat ini  Investor = serok dan hodl Spekulator = cutloss ga culoss ga 😂  #Bitcoin #btc https://t.co/zXCXKVEl8b
118,@PiNews_6 Harusnya harga Pi stabil dan tidak naik turun. Kalau tidak stabil kita simpan saja sebagai aset seperti bitcoin. Buat apa jadi mata uang?
119,"@aadbitcoin @bitcoinindo21 @gibran_tweet @ganjarpranowo @sunsetbitcoin @BitcoinConf_ID usul saja tentang peraturan transaksi dengan bitcoin, kalau dibolehkan di komunitas lokal, tempat wisata, kayaknya bisa menjadi daya tarik tersendiri."
120,"Skrg ni makin byk plak account2 yg tag aku promote bitcoin, electronic coin.. memang aku block.. hahahhaha"
121,@_machiga @bitcoin_i gm gm Machiga 🥐
122,@Bitcoin Btc 100k€
123,"anjir fiat haram brooo, perbankan dunia jahat broo, beli bitcoin brooo""  ""yeyyy bitcoin gw naik dari 100 ribu jadi 150 ribu, take profit dulu ga sih slurrr"""""
124,"@yuki__bitcoin @aniesbaswedan Rakyat sudah bosan disuguhi mulut mANIES,"
125,"@gaborgurbacs blah, blah, blah. bitcoin is for criminals. blah, blah, blah"
126,"Telusuri siklus #BitcoinHalving : sebuah peristiwa setiap 210.000 blok, mengubah perjalanan #Bitcoin ⛏️  Sejarah Halving: 2012, 2016, 2020. Selanjutnya: April 2024. Persiapkan diri untuk menyambut halving Bitcoin keempat – momen kunci di dunia #crypto!💡   #BitcoinHalving2024"
127,5. El Salvador Tawarkan Program Kewarganegaraan dengan Investasi Bitcoin 🌎  - WNA bisa dapat paspor El Salvador bayar $1 juta dalam bentuk Bitcoin. - Program ini mencari investor dengan kekayaan bersih yang besar. - Pemerintah El Salvador dukung adopsi Bitcon yang lebih luas.
128,4. Fidelity Membahas Aplikasi ETF Bitcoin Spot dengan SEC 📈  - Fidelity bahas hal teknis untuk ETF Bitcoin-nya. - SEC juga bertemu dengan beberapa pemohon ETF BTC lainnya. - Investor sangat menantikan keputusan SEC ini pada awal tahun 2024.
129,3. Penurunan Suku Bunga The Fed Jadi Katalis BTC 💰  - Goldman Sachs perkirakan Fed pangkas suku bunga pada Q3 tahun 2024. - Aksi itu dianggap bullish bisa meningkatkan selera risiko investor. - Bisa menjadi katalisator kenaikan harga Bitcoin pasca-halving.
130,Daily News Update 12 Dec 2023 📰  1. Bitcoin &amp  Ethereum Berhasil Bertahan di Atas Level Kunci 💹  - Harga BTC &amp  ETH turun di awal pekan ke-2 Desember 2023 - Banyak analis mengatakan koreksi sudah diperkirakan terjadi - Fokus pekan ini menanti data CPI AS &amp  pertemuan FOMC The Fed
131,"@IAssundy @zeinnawawyreal Yang penting jangan future. Mau saham mau bitcoin, mau crypto mau apapun klo udh future/leverage = haram"
132,"Dalam rangka menyambut persetujuan ETF Bitcoin, konon kabarnya, Google lagi nyiapin kebijakan baru buat pasang iklan kripto nih guys..   Penasaran apa aja kebijakannya? Baca di: https://t.co/i85kbtFwtx  #INDODAX #AsetMasaDepan #BeritaKripto"
133,NTRNUSDT  0.9$  👀👀 #Cryptocurency #blockchain #Bitcoin
134,wah kirain emng Gagasan sendiri taunya dpt Contekan dari kaka pembina 😑
135,@TheSheriffCNFT @maxkeiser @saylor #Bitcoin  gang https://t.co/2CmE6CQBw6
136,@Yudi_andika19 @hoteliercrypto Kebanyakan ustadz nya juga ga ngerti bitcoin secara dalam
137,"betullah bak kata orang, jangan percaya 100% apa yg budak bitcoin sembang hshshashs"
138,Ethereum atau #ETH adalah mata uang crypto yang popularitasnya kedua terbesar di dunia setelah #Bitcoin . Tips menambang Ethereum : 1. Perhitungkan Modal 2. Pastikan potensi keuntungan sesuai 3. Sesuaikan cara menambang dengan kondisi kamu
139,Bitcoin turun hari ini sebesar -2.09% https://t.co/jTmZDXX2nK kenapa? Klo baca dari berita di sini https://t.co/oPILuEsVpG ada likuidasi futures contracts sebesar $ 516juta. Kayaknya orang2 pada ngambil cuan lgsg setelah harga naik minggu lalu.
140,@Viruz_Gem @IAssundy @hoteliercrypto Itu yg dijelasin viruz gem  anggapan orang ygmengharamkan bitcoin kk
141,@Viruz_Gem @hoteliercrypto Kalau kaka bisa memberikan alasan yang jelas bitcoin itu haram  100% saya tinggalin.. Saya bersyukur banget kalau ada yang bisa menjelasanya
142,"@aadbitcoin @fajarrifai2x @vincentrcrd Ohhh oke make sense kalo gitu, bitcoin gua percaya bisa sustain ya karena duit orang disitu ada banyak, dan ga ada yang ngatur bitcoin, jadi natural aja. Tapi jeleknya emisi jadi gabisa di atur kayak eth yang jadi staking"
143,"@Repsyzz @fajarrifai2x @vincentrcrd Malah kebalikannya. Aye jg ga percaya ma crypto.. Kebanyakan dari itu cuma scams n pump&amp dumps. Makanya cm bahas bitcoin 🙂 Tp iya kebanyakan blm paham bedanya, untungnya makin banyak org yg mulai paham.. https://t.co/3jkK7eiiQe"
144,"Mohon bersiap. Jaga diri Anda. Beli emas, perak, Bitcoin,"" ujar Kiyosaki. 📍https://t.co/dwAgcTZnyT https://t.co/7tNhUYiDKy"""
145,"Desember di tutup di atas 44.000, selesai tuh bitcoin 😂 #Bitcoin #BTC #Crypto #Cryptocurency #Ethererum #ETH #BNB #Binance"
146,"Selamat pagi, di pagi hari ini HIBS mengalami kenaikan sebesar 33.3% diikuti oleh TOKO dengan kenaikan sebesar 26.7% dalam 24 jam terakhir.  Aset kripto apa nih yang mau kamu beli di hari ini? 😊  #widgetIndodax #price #Bitcoin #indodax #AsetMasaDepan https://t.co/q2SRlADD6T"
147,@beepbeepxhavier gl bro engage @Portalcoin #Bitcoin
148,"@profesor_saham Sambil minum air putih utk memulai hari, keluar biar kena matahari pagi sambil mensyukuri hidup krn sesusah2nya situasi, pasti ada yang lg jalanin hidup lbh sulit lagi.."
149,@bitcoin_pow 1JtHgriEy2rTkEa9PRyWnbXvgSw1xmKNpM
150,"#Bitcoin trading   Kiri Time Frame 4h, terlihat naik Kanan TF 1d, masih menurun  Gw gak akan beli, pergerakan 1-2 hr msh menurun, naik hanya riak sesaat.  Disclaimer: jgn gunakan saran/analisa org lain dlm memutuskan jual/beli, pelajari dan analisa sendiri. https://t.co/LYxvejLPQp"
151,"@aadbitcoin @fajarrifai2x @Repsyzz @vincentrcrd Ya. Saya percaya kepada Bitcoin, kepada visi Satoshi dan ETH-nya Vitalik.  Tapi menyebut proyek crypto Indonesia, masih pesimis, palingan cuma buat pump and dump macam ASIX.  Top project crypto Indo paling bagus PUNDIX di 300-an CMC, Vex juga stuck di Indodax mulu."
152,Segera BULLISH untuk #BITCOIN 👏😎
153,asal budak bitcoin je mesti pendapat bangang
154,Pepe #NFT #SHIB #pepe #paw #eth #bitcoin #doge $NFT #Polygon #sol #Crypto #art #trend #pooh #MATIC #LINK #Cardano #X #APE #space #tesla https://t.co/PPvT1fxsA1
155,"seorang pakar keuangan terkemuka, memprediksi bahwa harga Bitcoin akan mencapai level yang belum pernah terjadi sebelumnya. Apakah ini tanda bahwa masa depan mata uang digital sedang menuju ke arah yang lebih cerah? Mari kita lihat perkembangannya"
156,@IAssundy @zeinnawawyreal Nyumbang thread yg panjang deh nih siapa tau bs ngasih tambahan masukan.. https://t.co/JNEjXC9p48 https://t.co/blH2VFfBqH
157,@IAssundy @hoteliercrypto Ada pnjlesannya kalo ga salah di akun ada apa dengn bitcoin bg...lngkap disitu pnjlasannya
158,bc1q4dks70fahkhdppqtug3yvt2s6qlh8t8u0lasjr.     My bitcoin address
159,@yuki__bitcoin @jokowi Hehehe dasar idiot jangan jangan di aku gagasannya no 1🤣🤣🤣🤣
160,@zeinnawawyreal Sebagai currency  - tidak sah sebagai pembayaran - tidak stabil - tidak ada jaminan dari pemerintah  Sebagai alat investasi  - tidak ada underlying - pada dasarnya bitcoin tidak berharga dan harganya hanya di tentukan oleh pasar saja  Yang terakhir trading itu judi  🙏🙏
161,"@zeinnawawyreal Kak banyak yang bilang bitcoin itu haram baik sebagai currency atau investasi,juga di anggap judi  Jawabnya gimana kak?  Kalau dari yang aku pelajari mulai dari apa itu crypto,trading,bitcoin, dll halal2 ajah  Cuman aku butuh keyakinan lebih..  Ini dasar2 mereka mengharamkanya"
162,@timothyronald22 Sebagai currency - tidak sah sebagai pembayaran - tidak stabil - tidak ada jaminan dari pemerintah  Sebagai alat investasi - tidak ada underlying - pada dasarnya bitcoin tidak berharga dan harganya hanya di tentukan oleh pasar saja Yang terakhir trading itu judi   Maksih kak
